hard  HH AA R D
cheap  CH IY P
easy  IY Z IY
able  EY B AH L
absent  AE B S AH N T
absolute  AE B S AH L UW T
academic  AE K AH D EH M IH K
acceptable  AE K S EH P T AH B AH L
accurate  AE K Y ER AH T
accuse  AH K Y UW Z
actual  AE K CH AH W AH L
additional  AH D IH SH AH N AH L
adequate  AE D AH K W AH T
adjourn  AH JH ER N
afraid  AH F R EY D
alive  AH L AY V
allergy  AE L ER JH IY
angry  AE NG G R IY
annual  AE N Y UW AH L
any  EH N IY
apparent  AH P EH R AH N T
appropriate  AH P R OW P R IY AH T
approximate  AH P R AA K S AH M AH T
apt  AE P T
artificial  AA R T AH F IH SH AH L
artist  AA R T AH S T
artistic  AA R T IH S T IH K
ashamed  AH SH EY M D
asleep  AH S L IY P
attractive  AH T R AE K T IH V
audience  AA D IY AH N S
automatic  AO T AH M AE T IH K
available  AH V EY L AH B AH L
awake  AH W EY K
aware  AH W EH R
back  B AE K
bad  B AE D
bare  B EH R
basic  B EY S IH K
beautiful  B Y UW T AH F AH L
best  B EH S T
better  B EH T ER
big  B IH G
bitter  B IH T ER
black  B L AE K
bold  B OW L D
born  B AO R N
bound  B AW N D
bright  B R AY T
brilliant  B R IH L Y AH N T
broken  B R OW K AH N
capable  K EY P AH B AH L
careful  K EH R F AH L
careless  K EH R L EH S
case  K EY S
cash  K AE SH
cashier  K AE SH IH R
central  S EH N T R AH L
certain  S ER T AH N
characteristic  K EH R IH K T ER IH S T IH K
civil  S IH V AH L
clean  K L IY N
clever  K L EH V ER
close  K L OW S
commercial  K AH M ER SH AH L
common  K AA M AH N
complete  K AH M P L IY T
complex  K AA M P L EH K S
complicated  K AA M P L AH K EY T AH D
comprehensive  K AA M P R IY HH EH N S IH V
compulsive  K AH M P AH L S IH V
concrete  K AH N K R IY T
conscious  K AA N SH AH S
considerable  K AH N S IH D ER AH B AH L
consistent  K AH N S IH S T AH N T
constant  K AA N S T AH N T
contemporary  K AH N T EH M P ER EH R IY
continuous  K AH N T IH N Y UW AH S
convenient  K AH N V IY N Y AH N T
cool  K UW L
corporate  K AO R P ER AH T
crazy  K R EY Z IY
criminal  K R IH M AH N AH L
daily  D EY L IY
damp  D AE M P
dangerous  D EY N JH ER AH S
dead  D EH D
deaf  D EH F
dear  D IH R
decorative  D EH K R AH T IH V
deep  D IY P
definite  D EH F AH N AH T
deliberate  D IH L IH B ER AH T
delicate  D EH L AH K AH T
delicious  D IH L IH SH AH S
delight  D IH L AY T
desperate  D EH S P R IH T
different  D IH F ER AH N T
difficult  D IH F AH K AH L T
dirty  D ER T IY
dishonest  D IH S AA N AH S T
distant  D IH S T AH N T
distinct  D IH S T IH NG K T
domestic  D AH M EH S T IH K
dominant  D AA M AH N AH N T
eager  IY G ER
early  ER L IY
economic  EH K AH N AA M IH K
effective  IH F EH K T IH V
efficient  IH F IH SH AH N T
elastic  IH L AE S T IH K
elbow  EH L B OW
electric  IH L EH K T R IH K
electronic  IH L EH K T R AA N IH K
engaged  IH N G EY JH D
enormous  IH N AO R M AH S
enough  IH N AH F
entire  IH N T AY ER
equivalent  IH K W IH V AH L AH N T
essential  EH S EH N SH AH L
ethnic  EH TH N IH K
every  EH V ER IY
everyday  EH V R IY D EY
evident  EH V AH D AH N T
