fan  F AE N
oath  OW TH
ability  AH B IH L AH T IY
absence  AE B S AH N S
accident  AE K S AH D AH N T
ache  EY K
action  AE K SH AH N
activity  AE K T IH V IH T IY
actor  AE K T ER
actress  AE K T R AH S
addition  AH D IH SH AH N
address  AE D R EH S
administration  AE D M IH N IH S T R EY SH AH N
admiration  AE D M ER EY SH AH N
admission  AE D M IH SH AH N
adult  AH D AH L T
advance  AH D V AE N S
advantage  AE D V AE N T IH JH
adventure  AE D V EH N CH ER
advertisement  AE D V ER T AH Z M AH N T
advice  AE D V AY S
affair  AH F EH R
age  EY JH
agency  EY JH AH N S IY
agent  EY JH AH N T
agreement  AH G R IY M AH N T
aim  EY M
airplane  EH R P L EY N
airport  EH R P AO R T
aisle  AY L
alert  AH L ER T
allowance  AH L AW AH N S
alphabet  AE L F AH B EH T
already  AO L R EH D IY
alternative  AO L T ER N AH T IH V
ambition  AE M B IH SH AH N
analysis  AE N AE L IH S IH S
angle  AE NG G AH L
animal  AE N AH M AH L
ankle  AE NG K AH L
apartment  AH P AA R T M AH N T
apology  AH P AA L AH JH IY
appeal  AH P IY L
appearance  AH P IH R AH N S
appetite  AE P AH T AY T
apple  AE P AH L
approach  AH P R OW CH
approval  AH P R UW V AH L
area  EH R IY AH
argument  AA R G Y AH M AH N T
army  AA R M IY
arrangement  ER EY N JH M AH N T
arrow  AE R OW
art  AA R T
article  AA R T AH K AH L
assistant  AH S IH S T AH N T
athlete  AE TH L IY T
attack  AH T AE K
attitude  AE T AH T UW D
aunt  AE N T
author  AO TH ER
authority  AH TH AO R AH T IY
automobile  AO T AH M OW B IY L
autumn  AO T AH M
avenue  AE V AH N UW
average  AE V ER IH JH
baby  B EY B IY
bacterium  B AE K T IH R IY AH M
bag  B AE G
ball  B AO L
band  B AE N D
bank  B AE NG K
bar  B AA R
barn  B AA R N
barrier  B AE R IY ER
base  B EY S
baseball  B EY S B AO L
basis  B EY S AH S
basket  B AE S K AH T
bath  B AE TH
bathroom  B AE TH R UW M
battery  B AE T ER IY
battle  B AE T AH L
beach  B IY CH
beak  B IY K
bean  B IY N
beat  B IY T
beauty  B Y UW T IY
bed  B EH D
beef  B IY F
beginning  B IH G IH N IH NG
behalf  B IH HH AE F
behavior  B IH HH EY V Y ER
belief  B IH L IY F
bell  B EH L
belt  B EH L T
bench  B EH N CH
bend  B EH N D
bible  B AY B AH L
bicycle  B AY S IH K AH L
bid  B IH D
bill  B IH L
biology  B AY AA L AH JH IY
bird  B ER D
birth  B ER TH
bit  B IH T
bite  B AY T
blade  B L EY D
blank  B L AE NG K
blanket  B L AE NG K AH T
block  B L AA K
blond  B L AA N D
blue  B L UW
boat  B OW T
body  B AA D IY
bomb  B AA M
bond  B AA N D
book  B UH K
boot  B UW T
bottle  B AA T AH L
bottom  B AA T AH M
boundary  B AW N D ER IY
bow  B AW
bowl  B OW L
box  B AA K S
boy  B OY
brain  B R EY N
branch  B R AE N CH
brand  B R AE N D
bread  B R EH D
break  B R EY K
breakfast  B R EH K F AH S T
breast  B R EH S T
breath  B R EH TH
breed  B R IY D
bribe  B R AY B
bride  B R AY D
bridge  B R IH JH
cage  K EY JH
cake  K EY K
calculation  K AE L K Y AH L EY SH AH N
calendar  K AE L AH N D ER
calf  K AE F
camera  K AE M ER AH
campaign  K AE M P EY N
campus  K AE M P AH S
can  K AE N
cancer  K AE N S ER
candidate  K AE N D AH D EY T
candy  K AE N D IY
cap  K AE P
capacity  K AH P AE S AH T IY
capital  K AE P IH T AH L
captain  K AE P T AH N
car  K AA R
card  K AA R D
care  K EH R
carpet  K AA R P AH T
carrot  K AE R AH T
castle  K AE S AH L
cat  K AE T
catalog  K AE T AH L AO G
category  K AE T AH G AO R IY
cattle  K AE T AH L
cause  K AA Z
cave  K EY V
ceiling  S IY L IH NG
celebration  S EH L AH B R EY SH AH N
cell  S EH L
cent  S EH N T
ceremony  S EH R AH M OW N IY
chain  CH EY N
chair  CH EH R
challenge  CH AE L AH N JH
chamber  CH EY M B ER
chance  CH AE N S
channel  CH AE N AH L
chaos  K EY AA S
chapter  CH AE P T ER
character  K EH R IH K T ER
charity  CH EH R IH T IY
charm  CH AA R M
chart  CH AA R T
cheese  CH IY Z
chef  SH EH F
chemical  K EH M IH K AH L
chemistry  K EH M IH S T R IY
chest  CH EH S T
chicken  CH IH K AH N
chief  CH IY F
child  CH AY L D
childhood  CH AY L D HH UH D
children  CH IH L D R AH N
chip  CH IH P
chocolate  CH AO K L AH T
choice  CH OY S
church  CH ER CH
circle  S ER K AH L
circumstance  S ER K AH M S T AE N S
citation  S AY T EY SH AH N
citizen  S IH T AH Z AH N
city  S IH T IY
clap  K L AE P
class  K L AE S
classic  K L AE S IH K
clause  K L AO Z
clay  K L EY
clerk  K L ER K
cliff  K L IH F
climate  K L AY M AH T
clock  K L AA K
closet  K L AA Z AH T
cloth  K L AO TH
clothes  K L OW DH Z
cloud  K L AW D
club  K L AH B
coal  K OW L
code  K OW D
coffee  K AA F IY
coin  K OY N
collapse  K AH L AE P S
collar  K AA L ER
collection  K AH L EH K SH AH N
college  K AA L IH JH
color  K AH L ER
column  K AA L AH M
combination  K AA M B AH N EY SH AH N
comedy  K AA M AH D IY
commission  K AH M IH SH AH N
committee  K AH M IH T IY
communication  K AH M Y UW N AH K EY SH AH N
community  K AH M Y UW N AH T IY
company  K AH M P AH N IY
comparison  K AH M P EH R AH S AH N
complaint  K AH M P L EY N T
completion  K AH M P L IY SH AH N
component  K AH M P OW N AH N T
composition  K AA M P AH Z IH SH AH N
compost  K AA M P OW S T
compound  K AA M P AW N D
computer  K AH M P Y UW T ER
concentration  K AA N S AH N T R EY SH AH N
concept  K AA N S EH P T
concern  K AH N S ER N
concert  K AA N S ER T
condition  K AH N D IH SH AH N
conference  K AA N F ER AH N S
congress  K AA NG G R AH S
conjunction  K AH N JH AH NG K SH AH N
connection  K AH N EH K SH AH N
conscience  K AA N SH AH N S
conservative  K AH N S ER V AH T IH V
consideration  K AH N S IH D ER EY SH AH N
constitution  K AA N S T AH T UW SH AH N
construction  K AH N S T R AH K SH AH N
contact  K AA N T AE K T
container  K AH N T EY N ER
content  K AA N T EH N T
contest  K AA N T EH S T
context  K AA N T EH K S T
continent  K AA N T AH N AH N T
contrast  K AA N T R AE S T
contribution  K AA N T R AH B Y UW SH AH N
conversation  K AA N V ER S EY SH AH N
cookie  K UH K IY
cooperation  K OW AA P ER EY SH AH N
copy  K AA P IY
core  K AO R
corn  K AO R N
corner  K AO R N ER
corporation  K AO R P ER EY SH AH N
cottage  K AA T AH JH
cotton  K AA T AH N
cough  K AA F
council  K AW N S AH L
count  K AW N T
country  K AH N T R IY
couple  K AH P AH L
cow  K AW
craft  K R AE F T
cream  K R IY M
creature  K R IY CH ER
credit  K R EH D AH T
crew  K R UW
crime  K R AY M
crutch  K R AH CH
customs  K AH S T AH M Z
cut  K AH T
dam  D AE M
damage  D AE M AH JH
damages  D AE M AH JH AH Z
dance  D AE N S
danger  D EY N JH ER
dare  D EH R
dark  D AA R K
data  D EY T AH
date  D EY T
death  D EH TH
debate  D AH B EY T
decision  D IH S IH ZH AH N
decoration  D EH K ER EY SH AH N
definition  D EH F AH N IH SH AH N
delay  D IH L EY
demand  D IH M AE N D
democracy  D IH M AA K R AH S IY
department  D IH P AA R T M AH N T
departure  D IH P AA R CH ER
depth  D EH P TH
description  D IH S K R IH P SH AH N
desert  D EH Z ER T
desk  D EH S K
destruction  D IH S T R AH K SH AH N
detail  D IH T EY L
development  D IH V EH L AH P M AH N T
device  D IH V AY S
diamond  D AY M AH N D
diary  D AY ER IY
dictionary  D IH K SH AH N EH R IY
diet  D AY AH T
difference  D IH F ER AH N S
difficulty  D IH F AH K AH L T IY
dimension  D IH M EH N SH AH N
dinner  D IH N ER
dip  D IH P
direction  D ER EH K SH AH N
director  D ER EH K T ER
dirt  D ER T
disagreement  D IH S AH G R IY M AH N T
disapproval  D IH S AH P R UW V AH L
disaster  D IH Z AE S T ER
disc  D IH S K
discipline  D IH S AH P L AH N
discovery  D IH S K AH V ER IY
discussion  D IH S K AH SH AH N
disease  D IH Z IY Z
dish  D IH SH
disrespect  D IH S R IH S P EH K T
distance  D IH S T AH N S
distribution  D IH S T R AH B Y UW SH AH N
district  D IH S T R IH K T
divide  D IH V AY D
division  D IH V IH ZH AH N
divorce  D IH V AO R S
dog  D AO G
doll  D AA L
dollar  D AA L ER
door  D AO R
dot  D AA T
double  D AH B AH L
doubt  D AW T
ear  IY R
earth  ER TH
ease  IY Z
east  IY S T
edge  EH JH
edition  AH D IH SH AH N
editor  EH D AH T ER
education  EH JH AH K EY SH AH N
effect  IH F EH K T
effort  EH F ER T
egg  EH G
election  IH L EH K SH AH N
electricity  IH L EH K T R IH S AH T IY
element  EH L AH M AH N T
emergency  IH M ER JH AH N S IY
emission  IH M IH SH AH N
emotion  IH M OW SH AH N
emphasis  EH M F AH S IH S
empire  EH M P AY ER
employment  EH M P L OY M AH N T
enemy  EH N AH M IY
engine  EH N JH AH N
